"Country Code","Population (Thousands)","Region","Country"
ABW,105.845,"Latin America & Caribbean ","Aruba"
AFG,37171.921,"South Asia","Afghanistan"
AGO,30809.787,"Sub-Saharan Africa ","Angola"
ALB,2882.74,"Europe & Central Asia","Albania"
AND,77.006,"Europe & Central Asia","Andorra"
ARE,9630.959,"Middle East & North Africa","United Arab Emirates"
ARG,44361.15,"Latin America & Caribbean ","Argentina"
ARM,2951.745,"Europe & Central Asia","Armenia"
ASM,55.465,"East Asia & Pacific","American Samoa"
ATG,96.286,"Latin America & Caribbean ","Antigua and Barbuda"
AUS,24898.152000000002,"East Asia & Pacific","Australia"
AUT,8891.388,"Europe & Central Asia","Austria"
AZE,9949.537,"Europe & Central Asia","Azerbaijan"
BDI,11175.374,"Sub-Saharan Africa ","Burundi"
BEL,11482.178,"Europe & Central Asia","Belgium"
BEN,11485.044,"Sub-Saharan Africa ","Benin"
BFA,19751.466,"Sub-Saharan Africa ","Burkina Faso"
BGD,161376.708,"South Asia","Bangladesh"
BGR,7051.608,"Europe & Central Asia","Bulgaria"
BHR,1569.4460000000001,"Middle East & North Africa","Bahrain"
BHS,385.63699999999994,"Latin America & Caribbean ","Bahamas"
BIH,3323.925,"Europe & Central Asia","Bosnia and Herzegovina"
BLR,9452.617,"Europe & Central Asia","Belarus"
BLZ,383.07099999999997,"Latin America & Caribbean ","Belize"
BMU,62.756,"North America","Bermuda"
BOL,11353.142,"Latin America & Caribbean ","Bolivia (Plurinational State of)"
BRA,209469.323,"Latin America & Caribbean ","Brazil"
BRB,286.64099999999996,"Latin America & Caribbean ","Barbados"
BRN,428.963,"East Asia & Pacific","Brunei Darussalam"
BTN,754.388,"South Asia","Bhutan"
BWA,2254.0679999999998,"Sub-Saharan Africa ","Botswana"
CAF,4666.3679999999995,"Sub-Saharan Africa ","Central African Republic"
CAN,37074.562000000005,"North America","Canada"
CHE,8525.610999999999,"Europe & Central Asia","Switzerland"
CHL,18729.16,"Latin America & Caribbean ","Chile"
CHN,1427647.7859999998,"East Asia & Pacific","China"
CIV,25069.23,"Sub-Saharan Africa ","Côte d'Ivoire"
CMR,25216.267000000003,"Sub-Saharan Africa ","Cameroon"
COD,84068.091,"Sub-Saharan Africa ","Democratic Republic of the Congo"
COG,5244.359,"Sub-Saharan Africa ","Congo"
COL,49661.047999999995,"Latin America & Caribbean ","Colombia"
COM,832.322,"Sub-Saharan Africa ","Comoros"
CPV,543.7669999999999,"Sub-Saharan Africa ","Cabo Verde"
CRI,4999.441,"Latin America & Caribbean ","Costa Rica"
CUB,11338.133999999998,"Latin America & Caribbean ","Cuba"
CUW,162.752,"Latin America & Caribbean ","Curaçao"
CYM,64.17399999999999,"Latin America & Caribbean ","Cayman Islands"
CYP,1189.265,"Europe & Central Asia","Cyprus"
CZE,10665.677,"Europe & Central Asia","Czechia"
DEU,83124.418,"Europe & Central Asia","Germany"
DJI,958.923,"Middle East & North Africa","Djibouti"
DMA,71.625,"Latin America & Caribbean ","Dominica"
